Marca temporal,"¿Estás estudiando en algún colegio, universidad o instituto?",Escribe tu edad exacta,Sexo,Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [No discrimino y trato a todos por igual],Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Me gusta comprar marcas que representen mi status],Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Me preocupa mucho el medio ambiente],"Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Estudio mucho, doy mi mayor esfuerzo]",Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Busco el éxito sin importar lo que deba sacrificar],Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Trato de vestir sencillo para no presumir],Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Creo que la vida se trata de tomar riesgos],Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Busco hacer cosas emocionantes para no aburrirme],"Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [En mi casa, la familia es muy importante, por eso paso mucho tiempo con ellos]",Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Tener dinero es clave para ser respetado],Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Me cuesta mucho lidiar con gente que opina estupideces],Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [La tradición y religión ayudan a distinguir lo bueno de lo malo],"Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [El dinero va y viene, trato de no cuidarlo mucho, más bien lo disfruto]","Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Hay que respetar a los adultos, aunque algunos no sean muy respetuosos]",Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Me gusta comer sano y estar en forma],Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Vestirse bien es clave para el éxito ],"Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Soy sincero con las personas, aunque la verdad les duela]",Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Me preocupo y ayudo a los necesitados],Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Invierto mucho tiempo y dinero para aprender cosas nuevas],Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Me gusta conocer gente y hacer nuevos amigos],"Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Soy una persona casera, prefiero estar en casa haciendo lo mío]","Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Prefiero hacer las cosas solo, me estresa trabajar en grupo]",Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Me gusta tener muchos amigos y pasar tiempo con ellos],Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Me cuesta concentrarme porque me aburro rápido de las cosas],Cuando tenga 30 años me gustaría:,¿Cuánto tiempo has pasado en los últimos 7 días en TikTok? Si no lo las usado coloca 00:00,¿Cuánto tiempo has pasado en los últimos 7 días en Instagram? Si no lo las usado coloca 00:00,¿Cuánto tiempo has pasado en los últimos 7 días en Facebook? Si no lo las usado coloca 00:00,¿Cuánto tiempo has pasado en los últimos 7 días en YouTube? Si no lo las usado coloca 00:00
11/08/2021 11:39:54,Sí,20,Hombre,Totalmente verdadero,Un poco falso,No lo sé,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Un poco verdadero,Totalmente verdadero,No lo sé,No lo sé,No lo sé,Un poco verdadero,Un poco verdadero,No lo sé,Un poco verdadero,No lo sé,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Un poco verdadero,Un poco verdadero,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",1:40:00,6:12:00,2:10:00,1:15:00
11/08/2021 11:40:50,Sí,23,Mujer,Un poco falso,No lo sé,Un poco verdadero,Un poco verdadero,Un poco falso,No lo sé,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Un poco falso,Totalmente verdadero,Un poco falso,No lo sé,Un poco verdadero,Un poco falso,Un poco verdadero,Totalmente verdadero,Un poco falso,Un poco verdadero,No lo sé,Totalmente verdadero,Un poco falso,Un poco falso,Un poco verdadero,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",6:01:00,2:51:00,5:48:00,0:19:00
11/08/2021 11:41:34,Sí,21,Hombre,No lo sé,Un poco verdadero,No lo sé,No lo sé,Totalmente verdadero,No lo sé,Un poco verdadero,No lo sé,Un poco verdadero,Totalmente verdadero,No lo sé,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Un poco verdadero,Totalmente verdadero,No lo sé,No lo sé,No lo sé,Totalmente verdadero,Un poco falso,No lo sé,Totalmente verdadero,No lo sé,"Estar soltero, muy enfocado en mis logros personales",0:48:00,1:36:00,4:49:00,0:00:00
11/08/2021 11:41:46,Sí,23,Hombre,Totalmente verdadero,Totalmente falso,Un poco falso,Un poco falso,Totalmente falso,No lo sé,Un poco verdadero,Un poco verdadero,Un poco falso,No lo sé,Totalmente verdadero,Totalmente falso,No lo sé,Totalmente falso,Un poco verdadero,Totalmente falso,Un poco verdadero,Un poco falso,Un poco falso,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Un poco falso,Un poco verdadero,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",0:00:00,4:00:00,4:00:00,20:00:00
11/08/2021 11:42:33,Sí,21,Mujer,Totalmente verdadero,Un poco falso,Un poco verdadero,Un poco verdadero,No lo sé,Un poco falso,Un poco verdadero,Un poco verdadero,Un poco verdadero,Totalmente falso,No lo sé,Un poco verdadero,Totalmente falso,Un poco verdadero,Un poco verdadero,Totalmente falso,Totalmente verdadero,Totalmente verdadero,No lo sé,Un poco verdadero,Totalmente verdadero,Un poco verdadero,Un poco verdadero,Totalmente verdadero,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",6:52:00,8:05:00,1:20:00,5:31:00
11/08/2021 11:42:38,Sí,22,Mujer,Totalmente verdadero,Totalmente falso,Totalmente verdadero,Totalmente verdadero,No lo sé,Un poco verdadero,No lo sé,Un poco falso,Totalmente verdadero,Un poco falso,Totalmente verdadero,Un poco falso,Un poco verdadero,No lo sé,No lo sé,Un poco verdadero,Totalmente verdadero,No lo sé,No lo sé,Totalmente falso,Totalmente verdadero,Totalmente verdadero,Un poco falso,Un poco verdadero,"Estar soltero, muy enfocado en mis logros personales",3:45:00,4:15:00,7:55:00,9:15:00
11/08/2021 11:43:40,Sí,21,Hombre,Totalmente verdadero,Totalmente verdadero,Un poco falso,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Un poco falso,Un poco verdadero,Un poco falso,Un poco verdadero,Un poco falso,Totalmente falso,Un poco verdadero,Totalmente falso,Un poco verdadero,Un poco falso,Un poco verdadero,Totalmente falso,Un poco falso,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco falso,Un poco verdadero,"Estar soltero, muy enfocado en mis logros personales",0:00:00,21:37:00,16:09:00,14:00:00
11/08/2021 11:44:14,Sí,22,Mujer,Un poco verdadero,No lo sé,Un poco verdadero,Un poco verdadero,No lo sé,No lo sé,Un poco verdadero,Totalmente verdadero,Un poco verdadero,No lo sé,Un poco verdadero,Un poco falso,No lo sé,Un poco falso,Un poco falso,No lo sé,Un poco verdadero,No lo sé,Un poco verdadero,Totalmente verdadero,No lo sé,Un poco verdadero,Un poco verdadero,Un poco verdadero,"Estar soltero, muy enfocado en mis logros personales",1:16:00,2:56:00,1:03:00,0:00:00
11/08/2021 11:44:37,Sí,22,Mujer,Totalmente verdadero,Un poco falso,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Un poco verdadero,Un poco verdadero,Un poco falso,Un poco verdadero,Un poco verdadero,Totalmente falso,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Totalmente verdadero,No lo sé,Totalmente verdadero,Un poco verdadero,Totalmente falso,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",1:00:00,4:17:00,0:40:00,0:00:00
11/08/2021 11:44:56,Sí,21,Mujer,Totalmente verdadero,No lo sé,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Un poco verdadero,Totalmente verdadero,No lo sé,Totalmente verdadero,Totalmente falso,Totalmente verdadero,Totalmente falso,Un poco falso,Totalmente verdadero,No lo sé,No lo sé,Totalmente verdadero,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Un poco verdadero,Un poco falso,Totalmente verdadero,No lo sé,"Estar soltero, muy enfocado en mis logros personales",4:00:00,5:00:00,10:00:00,0:00:00
11/08/2021 11:44:59,Sí,21,Hombre,Totalmente verdadero,No lo sé,Un poco verdadero,Totalmente verdadero,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Totalmente verdadero,Un poco verdadero,Totalmente verdadero,Totalmente verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Un poco verdadero,No lo sé,Un poco verdadero,Totalmente verdadero,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",8:52:00,1:58:00,0:46:00,1:10:00
11/08/2021 11:46:03,Sí,18,Hombre,Totalmente verdadero,No lo sé,Totalmente verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,No lo sé,No lo sé,Totalmente verdadero,No lo sé,Un poco falso,No lo sé,Un poco verdadero,No lo sé,No lo sé,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Un poco verdadero,Un poco verdadero,"Estar soltero, muy enfocado en mis logros personales",5:40:00,2:45:00,0:57:00,0:11:00
11/08/2021 11:46:19,Sí,25,Hombre,Totalmente verdadero,Totalmente falso,Un poco verdadero,Un poco verdadero,Un poco verdadero,No lo sé,Un poco falso,Un poco verdadero,Totalmente verdadero,Totalmente falso,Totalmente verdadero,Totalmente falso,Totalmente falso,Totalmente verdadero,Un poco verdadero,No lo sé,Totalmente verdadero,Un poco verdadero,Totalmente verdadero,Totalmente verdadero,Un poco falso,Totalmente falso,Totalmente verdadero,Totalmente verdadero,"Estar soltero, muy enfocado en mis logros personales",3:00:00,6:00:00,0:00:00,1:00:00
11/08/2021 11:46:49,Sí,18,Mujer,Totalmente verdadero,Totalmente falso,Totalmente falso,Un poco verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Un poco falso,Un poco verdadero,Totalmente falso,Totalmente verdadero,Totalmente falso,Totalmente falso,Un poco verdadero,Totalmente verdadero,Totalmente falso,Totalmente verdadero,Totalmente verdadero,Un poco falso,Totalmente verdadero,Totalmente falso,Totalmente verdadero,Totalmente falso,Totalmente verdadero,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",3:00:00,0:00:00,2:00:00,3:00:00
11/08/2021 11:48:27,Sí,21,Mujer,Totalmente verdadero,Un poco falso,Un poco verdadero,Un poco verdadero,Un poco falso,Un poco verdadero,Un poco verdadero,Un poco falso,Totalmente verdadero,Totalmente falso,Un poco verdadero,Totalmente verdadero,Totalmente falso,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,No lo sé,Totalmente verdadero,No lo sé,Un poco verdadero,Totalmente verdadero,Un poco falso,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",0:35:00,4:04:00,0:41:00,0:31:00
11/08/2021 11:50:37,Sí,20,Mujer,No lo sé,No lo sé,No lo sé,Un poco verdadero,No lo sé,Un poco falso,Un poco verdadero,Un poco verdadero,Un poco verdadero,Totalmente falso,No lo sé,No lo sé,Un poco verdadero,Totalmente verdadero,Un poco verdadero,Un poco verdadero,No lo sé,Un poco verdadero,No lo sé,Totalmente verdadero,Totalmente falso,Un poco falso,Totalmente verdadero,Un poco verdadero,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",2:50:00,4:13:00,1:34:00,0:00:00
11/08/2021 11:51:07,Sí,21,Mujer,Un poco verdadero,No lo sé,No lo sé,Un poco verdadero,Totalmente verdadero,No lo sé,Un poco verdadero,Totalmente verdadero,Un poco falso,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Un poco verdadero,No lo sé,No lo sé,Un poco verdadero,Un poco verdadero,No lo sé,No lo sé,Totalmente verdadero,Un poco falso,No lo sé,Un poco verdadero,Totalmente verdadero,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",3:15:00,7:30:00,4:08:00,1:08:00
11/08/2021 11:53:02,Sí,22,Hombre,Un poco verdadero,No lo sé,Un poco verdadero,Totalmente verdadero,No lo sé,Un poco verdadero,Un poco verdadero,Un poco verdadero,Totalmente verdadero,No lo sé,Un poco falso,Un poco verdadero,No lo sé,Totalmente verdadero,Totalmente verdadero,Un poco verdadero,No lo sé,Un poco verdadero,Un poco verdadero,Un poco verdadero,No lo sé,Un poco falso,Totalmente verdadero,Un poco falso,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",0:00:00,5:00:00,10:00:00,3:00:00
11/08/2021 11:54:44,Sí,20,Mujer,Totalmente verdadero,Totalmente verdadero,Un poco falso,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente falso,Totalmente verdadero,Un poco verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente falso,Totalmente verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Un poco falso,Totalmente falso,Totalmente verdadero,Totalmente verdadero,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",7:00:00,10:00:00,7:00:00,0:00:00
11/08/2021 11:57:08,Sí,20,Hombre,Totalmente verdadero,Un poco falso,Un poco verdadero,Un poco verdadero,Un poco falso,Un poco verdadero,Un poco verdadero,Un poco verdadero,No lo sé,Un poco falso,Un poco verdadero,Un poco verdadero,Un poco falso,Un poco verdadero,Totalmente verdadero,Totalmente falso,No lo sé,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Totalmente verdadero,Un poco verdadero,No lo sé,Un poco verdadero,"Estar soltero, muy enfocado en mis logros personales",5:00:00,4:00:00,6:00:00,1:00:00
11/08/2021 12:00:23,Sí,21,Mujer,Totalmente verdadero,Totalmente falso,Un poco verdadero,Un poco falso,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Un poco falso,Un poco verdadero,Totalmente verdadero,Totalmente verdadero,Un poco verdadero,Totalmente verdadero,No lo sé,Totalmente verdadero,Totalmente verdadero,No lo sé,Totalmente verdadero,Totalmente verdadero,Totalmente falso,Totalmente verdadero,Totalmente verdadero,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",1:20:00,4:45:00,2:16:00,0:07:00
11/08/2021 12:00:37,Sí,21,Mujer,Un poco verdadero,Totalmente falso,Un poco verdadero,Totalmente verdadero,Un poco verdadero,Totalmente verdadero,Totalmente verdadero,No lo sé,Totalmente verdadero,Un poco falso,Un poco verdadero,Un poco falso,Un poco falso,Totalmente falso,Un poco verdadero,No lo sé,Un poco falso,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco falso,"Estar soltero, muy enfocado en mis logros personales",14:00:00,0:30:00,10:00:00,2:00:00
11/08/2021 12:01:25,Sí,19,Mujer,Totalmente verdadero,No lo sé,No lo sé,No lo sé,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Un poco falso,Totalmente verdadero,Un poco falso,Totalmente verdadero,Totalmente verdadero,No lo sé,Un poco verdadero,Un poco falso,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Un poco verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Un poco verdadero,Un poco verdadero,"Estar soltero, muy enfocado en mis logros personales",6:00:00,5:00:00,4:00:00,1:00:00
11/08/2021 12:04:28,Sí,21,Hombre,Totalmente verdadero,No lo sé,No lo sé,Totalmente verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente falso,Totalmente verdadero,No lo sé,No lo sé,Totalmente verdadero,No lo sé,Un poco verdadero,Un poco verdadero,Un poco verdadero,No lo sé,Un poco verdadero,Un poco falso,Un poco verdadero,Un poco verdadero,Un poco falso,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",5:05:00,3:34:00,2:41:00,0:00:00
11/08/2021 12:06:47,Sí,19,Hombre,Totalmente verdadero,Un poco falso,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Totalmente falso,No lo sé,No lo sé,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Un poco falso,Un poco verdadero,Un poco verdadero,Un poco verdadero,Totalmente verdadero,No lo sé,Un poco verdadero,Totalmente verdadero,Un poco verdadero,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",2:30:00,1:00:00,0:50:00,0:30:00
11/08/2021 12:08:25,Sí,20,Mujer,Totalmente verdadero,Totalmente falso,Totalmente verdadero,Totalmente verdadero,Un poco falso,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Un poco falso,No lo sé,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Un poco falso,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Un poco verdadero,No lo sé,Totalmente verdadero,Un poco falso,"Estar soltero, muy enfocado en mis logros personales",0:00:00,4:51:00,0:13:00,3:30:00
11/08/2021 12:12:53,Sí,24,Hombre,Totalmente verdadero,Totalmente falso,Totalmente verdadero,Un poco falso,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Un poco verdadero,No lo sé,Un poco falso,Totalmente verdadero,No lo sé,Un poco falso,Totalmente falso,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Un poco verdadero,Totalmente verdadero,Un poco falso,Totalmente verdadero,No lo sé,No lo sé,Totalmente verdadero,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",0:00:00,0:00:00,0:00:00,10:00:00
11/08/2021 12:13:17,Sí,20,Hombre,No lo sé,Un poco falso,Un poco verdadero,Un poco verdadero,No lo sé,No lo sé,No lo sé,Totalmente verdadero,Totalmente verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,No lo sé,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Un poco verdadero,Un poco verdadero,No lo sé,No lo sé,Un poco verdadero,Totalmente falso,"Estar soltero, muy enfocado en mis logros personales",6:00:00,8:00:00,4:00:00,2:00:00
11/08/2021 12:18:25,Sí,21,Mujer,Totalmente verdadero,Un poco verdadero,No lo sé,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente falso,Totalmente verdadero,Totalmente falso,Un poco falso,Un poco verdadero,No lo sé,Totalmente falso,Totalmente verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Totalmente verdadero,Un poco falso,Totalmente verdadero,"Estar soltero, muy enfocado en mis logros personales",11:09:00,4:50:00,6:15:00,2:18:00
11/08/2021 12:43:41,Sí,25,Hombre,Totalmente verdadero,Totalmente falso,Un poco verdadero,Un poco verdadero,Totalmente falso,Un poco verdadero,Un poco falso,Un poco falso,Un poco verdadero,Totalmente falso,Un poco falso,Un poco verdadero,Un poco falso,Un poco verdadero,Un poco falso,Un poco verdadero,Un poco falso,Un poco verdadero,Un poco verdadero,Un poco falso,Totalmente verdadero,Un poco verdadero,Un poco falso,Un poco verdadero,"Estar soltero, muy enfocado en mis logros personales",0:00:00,0:00:00,0:00:00,23:00:00
11/08/2021 14:24:27,Sí,20,Mujer,Un poco verdadero,Totalmente verdadero,Un poco verdadero,Totalmente verdadero,Un poco verdadero,No lo sé,No lo sé,Un poco verdadero,Totalmente verdadero,Un poco falso,Un poco verdadero,No lo sé,Un poco falso,Un poco verdadero,Un poco verdadero,Un poco verdadero,No lo sé,Un poco falso,No lo sé,Un poco verdadero,No lo sé,Un poco falso,No lo sé,Totalmente falso,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",0:00:00,2:27:00,2:51:00,0:14:00
11/08/2021 15:16:05,Sí,20,Mujer,Totalmente verdadero,No lo sé,Un poco verdadero,Totalmente verdadero,Un poco verdadero,Un poco falso,Un poco verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente falso,Un poco verdadero,Totalmente verdadero,Un poco falso,Totalmente verdadero,Totalmente verdadero,Un poco falso,Un poco verdadero,Totalmente verdadero,Un poco verdadero,No lo sé,Un poco falso,Un poco verdadero,Un poco verdadero,No lo sé,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",6:30:00,13:17:00,1:54:00,0:00:00
11/08/2021 16:14:50,Sí,20,Mujer,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Un poco verdadero,Totalmente verdadero,Un poco verdadero,Un poco verdadero,No lo sé,Totalmente verdadero,No lo sé,Totalmente falso,Un poco verdadero,Un poco falso,Totalmente verdadero,No lo sé,Un poco verdadero,No lo sé,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Un poco verdadero,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",0:16:00,2:05:00,2:00:00,0:00:00
11/08/2021 16:17:01,Sí,20,Hombre,Totalmente verdadero,Totalmente falso,Un poco verdadero,Un poco falso,Un poco falso,Un poco verdadero,Un poco falso,Un poco falso,Un poco falso,No lo sé,Totalmente falso,No lo sé,Totalmente falso,Un poco falso,No lo sé,Un poco falso,Totalmente verdadero,Un poco falso,Un poco falso,Totalmente verdadero,Un poco falso,Totalmente falso,Un poco verdadero,Totalmente falso,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",10:00:00,5:00:00,2:00:00,1:00:00
11/08/2021 16:17:57,Sí,22,Mujer,Un poco verdadero,Totalmente falso,No lo sé,Totalmente verdadero,No lo sé,No lo sé,No lo sé,No lo sé,Un poco verdadero,Totalmente falso,Totalmente verdadero,No lo sé,No lo sé,Un poco verdadero,Totalmente falso,Un poco falso,Totalmente verdadero,No lo sé,No lo sé,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco falso,No lo sé,"Estar soltero, muy enfocado en mis logros personales",0:00:00,3:12:00,2:54:00,2:40:00
11/08/2021 17:30:40,Sí,25,Mujer,No lo sé,No lo sé,Un poco verdadero,No lo sé,No lo sé,Un poco falso,No lo sé,Un poco falso,Un poco falso,Un poco verdadero,No lo sé,No lo sé,Un poco verdadero,No lo sé,Un poco falso,No lo sé,No lo sé,Un poco verdadero,No lo sé,Un poco falso,Un poco verdadero,Un poco verdadero,Un poco falso,No lo sé,"Estar soltero, muy enfocado en mis logros personales",0:00:00,3:00:00,1:00:00,10:00:00
11/08/2021 18:20:33,Sí,20,Mujer,Un poco verdadero,Totalmente falso,Un poco falso,Un poco falso,Totalmente falso,Un poco falso,Un poco falso,Totalmente falso,No lo sé,Totalmente falso,Totalmente verdadero,Totalmente falso,Totalmente falso,Totalmente falso,Un poco verdadero,Totalmente falso,Un poco verdadero,Totalmente falso,Totalmente falso,Totalmente falso,Totalmente verdadero,Totalmente verdadero,Totalmente falso,Totalmente verdadero,"Estar soltero, muy enfocado en mis logros personales",0:55:00,0:36:00,0:15:00,2:00:00
11/08/2021 21:12:33,Sí,20,Mujer,Un poco verdadero,Totalmente falso,Un poco verdadero,Totalmente verdadero,No lo sé,Totalmente verdadero,No lo sé,Un poco verdadero,Un poco verdadero,Totalmente falso,No lo sé,No lo sé,Totalmente falso,Totalmente verdadero,No lo sé,Un poco verdadero,Un poco verdadero,Un poco verdadero,No lo sé,No lo sé,Un poco verdadero,No lo sé,No lo sé,No lo sé,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",12:32:00,4:01:00,2:52:00,1:31:00
11/08/2021 21:23:22,Sí,22,Mujer,Un poco verdadero,No lo sé,No lo sé,Un poco verdadero,No lo sé,Un poco verdadero,No lo sé,Un poco verdadero,Totalmente verdadero,No lo sé,Un poco verdadero,No lo sé,No lo sé,Un poco verdadero,No lo sé,No lo sé,No lo sé,Un poco verdadero,No lo sé,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Totalmente verdadero,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",2:00:00,2:55:00,1:20:00,1:00:00
16/08/2021 17:17:34,Sí,24,Hombre,Totalmente verdadero,Un poco verdadero,Un poco verdadero,Un poco falso,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Un poco verdadero,Un poco verdadero,No lo sé,Un poco verdadero,No lo sé,No lo sé,Un poco verdadero,Un poco verdadero,No lo sé,Totalmente verdadero,No lo sé,Un poco falso,No lo sé,Totalmente verdadero,Un poco verdadero,No lo sé,Un poco verdadero,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",2:00:00,8:00:00,8:00:00,10:00:00
16/08/2021 17:17:48,Sí,18,Hombre,Un poco verdadero,No lo sé,Un poco verdadero,No lo sé,No lo sé,No lo sé,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco falso,No lo sé,Un poco verdadero,Totalmente verdadero,Un poco verdadero,No lo sé,No lo sé,Totalmente verdadero,No lo sé,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco falso,Un poco verdadero,No lo sé,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",0:00:00,0:00:00,0:05:00,7:50:00
16/08/2021 17:21:03,Sí,22,Hombre,Totalmente verdadero,Un poco falso,No lo sé,Totalmente verdadero,Un poco verdadero,No lo sé,No lo sé,Un poco falso,Totalmente verdadero,Un poco falso,Totalmente verdadero,Totalmente falso,Un poco falso,Un poco falso,No lo sé,Un poco falso,Un poco falso,No lo sé,Un poco verdadero,No lo sé,Totalmente verdadero,Un poco falso,Un poco verdadero,Totalmente verdadero,"Estar soltero, muy enfocado en mis logros personales",1:00:00,0:00:00,0:00:00,0:00:00
5/09/2021 18:04:53,Sí,22,Hombre,Totalmente verdadero,Un poco verdadero,No lo sé,Un poco verdadero,Totalmente verdadero,No lo sé,No lo sé,Un poco verdadero,Un poco verdadero,Un poco verdadero,No lo sé,Totalmente falso,No lo sé,Un poco verdadero,Totalmente verdadero,Un poco verdadero,Un poco verdadero,No lo sé,Un poco verdadero,No lo sé,No lo sé,Totalmente verdadero,Un poco verdadero,Un poco verdadero,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",4:00:00,0:00:00,0:00:00,1:00:00
26/10/2021 21:34:22,Sí,21,Mujer,Totalmente verdadero,Un poco falso,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Un poco verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,No lo sé,No lo sé,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Totalmente verdadero,Un poco verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Un poco verdadero,Totalmente verdadero,No lo sé,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",1:00:00,3:00:00,1:00:00,0:00:00
26/10/2021 21:34:51,Sí,21,Hombre,Un poco verdadero,Un poco verdadero,Un poco falso,Un poco verdadero,Totalmente verdadero,No lo sé,Un poco verdadero,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Un poco falso,Totalmente falso,Totalmente falso,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco falso,Un poco falso,Un poco verdadero,Totalmente verdadero,Un poco falso,No lo sé,No lo sé,No lo sé,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",0:18:00,0:29:00,0:37:00,2:19:00
